開課年度,開課學期,校名,課程名稱,系所名稱,年級,學分數,學制,必選修,總修課人數
108,2,國立中央大學,衛星機械系統設計,太空科學與工程研究所碩士班,0,3,碩士班,選修,26
108,2,國立中央大學,衛星姿態判定與控制,太空科學與工程研究所碩士班,0,3,碩士班,選修,18
108,2,國立中央大學,癌症生物學,生命科學系,3,3,博士班,選修,5
108,2,國立嘉義大學,特殊教育學生治療法研究,特殊教育學系碩士班,1,2,碩士班,必修,10
108,2,國立彰化師範大學,高科技專利取得與攻防,資訊工程學系,1,3,碩士班,選修,18
108,2,國立彰化師範大學,人工智慧,資訊工程學系,1,3,碩士班,選修,19
108,2,國立嘉義大學,互動介面設計,數位學習設計與管理學系碩士班,1,3,碩士班,必修,6
108,2,國立政治大學,憲法專題研究(七),法律學系,1,2,碩士班,必選修,11
108,2,國立政治大學,研究方法,圖書資訊與檔案學研究所圖書資訊學數位碩士在職專班,1,3,碩士班在職專班,必修,17
108,2,國立政治大學,資訊素養與教學,圖書資訊與檔案學研究所圖書資訊學數位碩士在職專班,1,3,碩士班在職專班,選修,17
108,2,國立政治大學,資訊服務研討,圖書資訊與檔案學研究所圖書資訊學數位碩士在職專班,1,3,碩士班在職專班,選修,17
108,2,中國文化大學,第二語言習得研究,華語文教學碩士學位學程,1,3,碩士班在職專班,必修,4
108,2,中國文化大學,國際行銷管理,企業實務管理數位碩士在職專班,1,3,碩士班在職專班,必修,17
108,2,中國文化大學,作業管理,企業實務管理數位碩士在職專班,1,3,碩士班在職專班,必修,23
108,2,中國文化大學,團隊建立與領導,企業實務管理數位碩士在職專班,1,2,碩士班在職專班,必修,18
108,2,中國文化大學,電子商務,企業實務管理數位碩士在職專班,1,2,碩士班在職專班,選修,17
108,2,中國文化大學,國際企業經營策略,企業實務管理數位碩士在職專班,2,3,碩士班在職專班,必修,24
108,2,中國文化大學,產業分析與創新創業,企業實務管理數位碩士在職專班,2,3,碩士班在職專班,選修,15
108,2,世新大學,餐飲管理研究,觀光學系,0,3,碩士班在職專班,選修,16
108,2,淡江大學,新興學習科技應用專題,課程與教學研究所碩士班,1,2,碩士班,選修,6
108,2,淡江大學,數位典藏專題研究,數位出版與典藏數位學習碩士在職專班,1,3,碩士班在職專班,必修,4
108,2,淡江大學,中國「一帶一路」倡議在拉美的發展,拉丁美洲研究所亞太研究數位學習碩士在職專班,2,2,碩士班在職專班,選修,9
108,2,淡江大學,電子書製作與應用,數位出版與典藏數位學習碩士在職專班,1,3,碩士班在職專班,選修,4
108,2,淡江大學,次世代異質整合無線通訊核心網路,資訊工程學系資訊網路與多媒體碩士班,1,3,碩士班,選修,10
108,2,淡江大學,人力資源發展,教育科技學系數位學習碩士在職專班,2,3,碩士班在職專班,選修,23
108,2,淡江大學,人力資源管理研討,管理科學學系企業經營碩士班,1,3,碩士班,選修,11
108,2,淡江大學,東北亞政治格局,拉丁美洲研究所亞太研究數位學習碩士在職專班,1,2,碩士班在職專班,選修,9
108,2,淡江大學,需求評估,教育科技學系數位學習碩士在職專班,1,3,碩士班在職專班,選修,19
108,2,淡江大學,讀者服務,數位出版與典藏數位學習碩士在職專班,1,3,碩士班在職專班,選修,3
108,2,淡江大學,亞洲與拉丁美洲關係,拉丁美洲研究所亞太研究數位學習碩士在職專班,1,2,碩士班在職專班,選修,8
108,2,淡江大學,數位教學設計,教育科技學系數位學習碩士在職專班,1,3,碩士班在職專班,必修,21
108,2,淡江大學,研究方法,教育科技學系數位學習碩士在職專班,1,3,碩士班在職專班,必修,19
108,2,淡江大學,亞太安全議題,拉丁美洲研究所亞太研究數位學習碩士在職專班,1,2,碩士班在職專班,選修,8
108,2,淡江大學,中華民國外交政策,拉丁美洲研究所亞太研究數位學習碩士在職專班,2,2,碩士班在職專班,選修,9
108,2,淡江大學,台灣文化與價值觀,拉丁美洲研究所亞太研究數位學習碩士在職專班,1,2,碩士班在職專班,選修,8
108,2,國立陽明大學,全球衛生概論,國際衛生學程,1,2,碩士班,選修,8
108,2,國立陽明大學,深度學習與實務,腦科學研究所,1,3,碩士班,選修,4
108,2,國立臺東大學,研究論文寫作,資訊管理學系,1,2,碩士班在職專班,必修,23
108,2,國立中正大學,審計學,會計與資訊科技研究所,1A,3,碩士班在職專班,必修,26
108,2,國立中正大學,質性研究,教學專業發展數位學習碩士在職專班,1A,3,碩士班在職專班,必修,31
108,2,國立中正大學,學習型學校,教學專業發展數位學習碩士在職專班,1A,3,碩士班在職專班,選修,31
108,2,國立中正大學,多元文化課程與教學研究,教學專業發展數位學習碩士在職專班,1A,3,碩士班在職專班,選修,31
108,2,國立中正大學,課程發展與設計,教學專業發展數位學習碩士在職專班,1A,3,碩士班在職專班,選修,7
108,2,國立中正大學,弱勢學生與教育,教學專業發展數位學習碩士在職專班,1A,3,碩士班在職專班,選修,19
108,2,國立中正大學,雲端計算,資訊工程研究所,1A,3,博士班,選修,19
108,2,國立中正大學,物聯網概論,資訊工程研究所,1A,3,博士班,選修,67
108,2,國立中正大學,模糊系統,資訊工程研究所,1A,3,博士班,選修,22
108,2,國立中正大學,高通量定序資料之生物資訊分析技術,資訊工程研究所,1A,3,博士班,選修,6
108,2,國立中正大學,作業系統,雲端計算與物聯網數位學習碩士在職專班,1A,3,碩士班在職專班,選修,19
108,2,國立中正大學,網路安全,雲端計算與物聯網數位學習碩士在職專班,1A,3,碩士班在職專班,選修,26
108,2,國立中正大學,雲端計算,雲端計算與物聯網數位學習碩士在職專班,1A,3,碩士班在職專班,選修,25
108,2,國立中正大學,金融市場與投資管理專題研討,會計與法律數位學習碩士在職專班,1A,3,碩士班在職專班,選修,34
108,2,國立中正大學,財務會計(二),會計與法律數位學習碩士在職專班,1A,3,碩士班在職專班,必修,12
108,2,國立中正大學,審計與確認服務專題研討,會計與法律數位學習碩士在職專班,1A,3,碩士班在職專班,必修,30
108,2,國立成功大學,品牌與行銷,創意產業設計研究所,,3,碩士班,選修,16
108,2,國立成功大學,管理資訊系統,國際經營管理研究所(IIMBA),,3,碩士班,選修,19
108,2,輔仁大學,國際醫療專題研究-網,跨文化研究所翻譯學碩士班,,2,碩士班,選修,5
108,2,輔仁大學,顧客關係管理-網,企業管理學系管理學碩士在職專班,,3,碩士班在職專班,選修,42
108,2,輔仁大學,電腦科技與數位博物館-網,博物館學研究所碩士班,,2,碩士班,選修,4
108,2,輔仁大學,巨量營養素(II)-網,營養科學系碩士班,,2,碩士班,必修,10
108,2,中原大學,BT528R食品毒理學,理學院,1,2,碩士班,選修,11
108,2,中原大學,IE528RCAD與虛實整合系統,電機資訊學院,1,3,碩士班,選修,29
108,2,中原大學,EE360R電力系統之運轉與控制,電機資訊學院,1,3,碩士班,選修,12
108,2,中原大學,GE033R研究生生涯探索,人文與教育學院,0,2,碩士班,選修,60
108,2,中原大學,GE659R創意思解,人文與教育學院,0,2,碩士班,選修,1
108,2,中原大學,GE659S創意思解,人文與教育學院,0,2,碩士班,選修,2
108,2,中原大學,GE728R人工智慧導論,人文與教育學院,0,1,碩士班,選修,6
108,2,中原大學,PS493R員工訓練與能力發展,理學院,1,3,碩士班,選修,5
108,2,中原大學,PS547R心理學中的性別議題,理學院,1,1,碩士班,選修,1
108,2,中原大學,CS609R網路安全,電機資訊學院,1,3,碩士班,選修,24
108,2,中原大學,IT502R專題研討(二),商學院,1,1,碩士班,必修,7
108,2,中原大學,BM221T國際企業人力資源管理,商學院,2,3,碩士班,選修,14
108,2,中原大學,CY644r高等有機化學,理學院,1,3,碩士班在職專班,選修,5
108,2,中原大學,ME623R機器學習,工學院,1,3,碩士班,選修,14
108,2,中原大學,ME735R節能創新設計與實作,工學院,1,3,碩士班,選修,9
108,2,中原大學,SP525R早期介入實務,人文與教育學院,1,2,碩士班,選修,2
108,2,中原大學,LG537R翻譯理論,人文與教育學院,1,3,碩士班,選修,6
108,2,中原大學,EL539RAndroid應用程式設計,電機資訊學院,1,3,碩士班,選修,3
108,2,中原大學,BA339T國際企業人力資源管理,商學院,2,3,碩士班,選修,6
108,2,中原大學,BA621T財務管理個案研討,商學院,2,3,碩士班,選修,1
108,2,中原大學,MA701t書報討論,理學院,2,0,碩士班在職專班,必修,11
108,2,中原大學,EL190R數位影像處理,電機資訊學院,1,3,碩士班,選修,7
108,2,中原大學,EF803r刑法(下),法學院,1,2,碩士班在職專班,必修,10
108,2,中原大學,EF657T勞社法專題研究二,法學院,2,2,碩士班,選修,4
108,2,中原大學,LA529R人本城市:從觀念到實踐,設計學院,1,2,碩士班,選修,3
108,2,中原大學,MA701r書報討論,理學院,1,0,碩士班在職專班,必修,9
108,2,中原大學,MI572rFintech 專題研究,商學院,1,3,碩士班在職專班,選修,5
108,2,中原大學,TA160t新興教育議題,人文與教育學院,2,3,碩士班在職專班,選修,13
108,2,中原大學,CL509R華語文電腦輔助教學,人文與教育學院,1,3,碩士班,選修,17
108,2,中原大學,PR713R約翰著作,人文與教育學院,1,3,碩士班,選修,12
108,2,中原大學,PR721R第八世紀先知書研究,人文與教育學院,1,3,碩士班,選修,6
108,2,中原大學,PR720r早期教會歷史,人文與教育學院,1,3,碩士班在職專班,選修,5
108,2,臺北醫學大學,分子及醫學病毒學特論,國際醫學研究博士學位學程,1,2,博士班,選修,2
108,2,亞洲大學,研究方法,外國語文學系,1,3,碩士班,必修,9
108,2,亞洲大學,科技與語言教學,外國語文學系,1,3,碩士班,選修,6
108,2,臺北醫學大學,分子及醫學病毒學特論,醫學科學研究所博士班,1,2,博士班,選修,2
108,2,臺北醫學大學,科學文章撰寫,醫學科學研究所博士班,1,2,博士班,必修,14
108,2,臺北醫學大學,健康資訊系統與國際醫療理論,醫學資訊研究所博士班,1,2,博士班,選修,11
108,2,亞洲大學,資訊視覺化研究,視覺傳達設計學系,1,3,碩士班,選修,10
108,2,臺北醫學大學,研究倫理,研究所共同課程,1,0,碩士班,必修,33
108,2,臺北醫學大學,研究倫理,研究所共同課程,1,0,碩士班在職專班,必修,33
108,2,臺北醫學大學,研究倫理,研究所共同課程,1,0,博士班,必修,33
108,2,臺北醫學大學,研究倫理,研究所共同課程,1,0,碩士班,必修,75
108,2,臺北醫學大學,研究倫理,研究所共同課程,1,0,碩士班在職專班,必修,75
108,2,臺北醫學大學,研究倫理,研究所共同課程,1,0,博士班,必修,75
108,2,臺北醫學大學,分子生物學,醫學院研究所共同整合課程,1,3,碩士班,選修,11
108,2,臺北醫學大學,分子生物學,醫學院研究所共同整合課程,1,3,碩士班在職專班,選修,11
108,2,臺北醫學大學,分子生物學,醫學院研究所共同整合課程,1,3,博士班,選修,11
108,2,臺北醫學大學,分子生物學,醫學院研究所共同整合課程,1,3,碩士班,選修,11
108,2,臺北醫學大學,分子生物學,醫學院研究所共同整合課程,1,3,碩士班在職專班,選修,11
108,2,臺北醫學大學,分子生物學,醫學院研究所共同整合課程,1,3,博士班,選修,11
108,2,亞洲大學,設計特論(二),創意商品設計學系,1,3,碩士班,選修,10
108,2,臺北醫學大學,電子病歷系統人工智慧分析實作,醫學院人工智慧醫療碩士在職專班,1,2,碩士班在職專班,選修,16
108,2,臺北醫學大學,人工智慧在基因分析工程上之應用,醫學院人工智慧醫療碩士在職專班,1,2,碩士班在職專班,選修,10
108,2,臺北醫學大學,研究倫理,研究所共同課程,1,0,碩士班,必修,89
108,2,臺北醫學大學,研究倫理,研究所共同課程,1,0,碩士班在職專班,必修,89
108,2,臺北醫學大學,研究倫理,研究所共同課程,1,0,博士班,必修,89
108,2,臺北醫學大學,膳食營養調查法,保健營養學系碩士在職專班,1,2,碩士班在職專班,選修,17
108,2,亞洲大學,社會工作督導,社會工作學系,2,3,碩士班,選修,11
108,2,亞洲大學,量化研究方法,社會工作學系,1,3,碩士班,必修,10
108,2,國立臺灣師範大學,圖書資訊學研究,圖書資訊學研究所,,3,碩士班在職專班,必修,19
108,2,國立臺灣師範大學,統計學,圖書資訊學研究所,,3,碩士班在職專班,必修,20
108,2,國立臺灣師範大學,館藏發展,圖書資訊學研究所,,3,碩士班在職專班,選修,22
108,2,國立臺灣師範大學,資訊組織,圖書資訊學研究所,,3,碩士班在職專班,選修,14
108,2,國立臺灣師範大學,網路化教育訓練,科技應用與人力資源發展學系,1,3,碩士班在職專班,選修,27
108,2,國立臺灣師範大學,認知神經科學導論,科學教育研究所碩士班,,3,碩士班,選修,9
108,2,國立臺灣師範大學,日本庭園史專題研究,藝術史研究所碩士班,,3,碩士班,選修,7
108,2,國立臺灣師範大學,第二語言習得:理論與教學,華語文教學系碩士班,,3,碩士班,選修,20
108,2,國立臺南大學,新興教學科技議題研究,教育學系教學科技碩士班,1,3,碩士班,必修,10
108,2,國立臺灣師範大學,第二語言習得,華語文教學系,,3,碩士班在職專班,選修,16
108,2,國立臺灣師範大學,華語文教學法,華語文教學系,,3,碩士班在職專班,選修,21
108,2,國立臺灣師範大學,華語語言遊戲理論與應用,華語文教學系,,3,碩士班在職專班,選修,25
108,2,國立臺灣師範大學,漢字教學理論與應用,華語文教學系,,3,碩士班在職專班,選修,27
108,2,國立臺南大學,互動設計與數位藝術,數位學習科技學系碩士班,1,3,碩士班,選修,9
108,2,大葉大學,策略管理,管理學院碩士在職專班,2,3,碩士班在職專班,必修,6
108,2,國立臺南大學,互動設計與數位藝術,數位學習科技學系數位學習科技碩士在職專班(夜),1,3,碩士班在職專班,選修,6
108,2,亞洲大學,休憩發展趨勢,休閒與遊憩管理學系,1,3,碩士班,選修,14
108,2,亞洲大學,企業資源規劃研討,會計與資訊學系,1,3,碩士班,選修,12
108,2,亞洲大學,電子商務,經營管理學系,1,3,碩士班,選修,28
108,2,亞洲大學,生物技術專題講座(二),生物科技學系,1,1,碩士班,選修,9
108,2,亞洲大學,灰色系統應用,資訊工程學系,1,3,碩士班在職專班,選修,20
108,2,亞洲大學,人工智慧,光電與通訊學系,1,3,碩士班在職專班,選修,10
108,2,亞洲大學,整合行銷研究,資訊傳播學系,1,3,碩士班,選修,10
108,2,亞洲大學,金融市場,財務金融學系,1,3,碩士班在職專班,必修,33
108,2,亞洲大學,諮商駐地實習(二),心理學系,3,3,碩士班,選修,13
108,2,東海大學,大數據技術平台與應用,資訊工程學系,0,3,碩士班,選修,32
108,2,東海大學,巨量資料分析與應用,資訊管理學系,0,3,碩士班,選修,42
